Name,Participations,Awards,Bronze,Gold,No medal,Silver
(jr) Larocca,1,1,0,0,1,0
. Chadalavada,1,1,0,0,1,0
. Deni,1,1,0,0,1,0
671,1,1,1,0,0,0
A Alayed,1,1,0,0,1,0
A Dijiang,1,1,0,0,1,0
A Lamusi,1,1,0,0,1,0
A Luypaert,1,1,0,1,0,0
A Vanbellinghen,1,1,0,0,1,0
A'ja Wilson,2,2,0,2,0,0
A. (regnier-),2,2,0,0,2,0
A. Ahmed,1,1,0,0,1,0
A. Albert,1,1,0,1,0,0
A. Basheer,1,1,0,0,1,0
A. Brun,1,1,0,0,1,0
A. Buydens,1,1,0,0,1,0
A. Chagale,1,1,0,0,1,0
A. Christory,1,1,0,0,1,0
A. Darnis,1,1,0,0,1,0
A. Dubois,3,3,1,0,1,1
A. Duponcheel,1,1,0,0,1,0
A. Efik,1,1,0,0,1,0
A. Erilmez,1,1,0,0,1,0
A. Fernando,1,1,0,0,1,0
A. Ford,1,1,0,0,1,0
A. Fridt,1,1,0,0,1,0
A. Godinat,1,1,0,0,1,0
A. Harley,1,1,0,0,1,0
A. Jr.,1,1,0,0,1,0
A. Kordonis,1,1,0,0,1,0
A. Laffen,1,1,0,0,1,0
A. Lafontaine,1,1,0,0,1,0
A. Lawry,1,1,0,0,0,1
A. Mayavo,1,1,0,0,1,0
A. Page,1,1,0,0,1,0
A. Papadakis,1,1,0,0,1,0
A. Pinner,1,1,0,0,1,0
A. Porcher,2,2,0,0,2,0
A. Priftis,1,1,0,0,1,0
A. Rae,1,1,0,0,1,0
A. Razzak,2,2,0,0,2,0
A. Roger,1,1,0,0,1,0
A. Rogers,2,2,0,0,2,0
A. Romigny,1,1,0,0,1,0
A. Schmitt,1,1,0,0,1,0
A. Six,1,1,0,0,1,0
A. Tryfiatis-trypiapis,1,1,0,0,1,0
A. Upton,1,1,0,0,0,1
A. Vargas,1,1,0,0,1,0
A. West,2,2,0,0,1,1
A. Willcocks,1,1,0,0,0,1
A. Woods,1,1,0,0,0,1
ABNER,1,1,0,1,0,0
ADRIANA,1,1,0,0,0,1
ALINE,1,1,0,0,1,0
AMI,1,1,0,1,0,0
AMIR,1,1,0,0,1,0
AMIT,1,1,0,0,1,0
ANDRESSA,1,1,0,0,1,0
ANDRESSINHA,1,1,0,0,1,0
ANGELINA,2,2,0,0,1,1
ANKITA,1,1,0,0,1,0
ANTI,1,1,0,0,1,0
ANTONIA,1,1,0,0,0,1
ANTONY,1,1,0,1,0,0
AYUMI,1,1,0,0,1,0
Aa Joaquim,1,1,0,0,1,0
Aaboe Sloth,1,1,0,0,0,1
Aadam Khamis,1,1,0,0,1,0
Aadjijatmiko H.,2,2,0,0,2,0
Aadolf Svanstrm,2,2,0,0,2,0
Aafke Hament,1,1,0,0,1,0
Aagaard Hansen,3,3,0,0,3,0
Aage (-remfeldt),1,1,0,0,1,0
Aage Andersen,1,1,0,1,0,0
Aage Berntsen,5,5,0,0,5,0
Aage Birch,3,3,0,0,2,1
Aage Brix,1,1,0,0,1,0
Aage Eriksen,2,2,0,0,1,1
Aage Frandsen,1,1,0,1,0,0
Aage Hansen,1,1,1,0,0,0
Aage Heimann,1,1,0,0,1,0
Aage Hellstrm,3,3,0,0,3,0
Aage Hermann,1,1,0,0,1,0
Aage Holm,1,1,0,0,1,0
Aage Jensen,2,2,0,0,2,0
Aage Jrgensen,1,1,0,0,0,1
Aage Kirkegaard,1,1,0,0,1,0
Aage Larsen,2,2,0,0,1,1
Aage Lassen,1,1,0,0,1,0
Aage Leidersdorff,14,14,0,0,14,0
Aage Madsen,2,2,0,0,2,0
Aage Meyer,3,3,0,0,3,0
Aage Myhrvold,2,2,0,0,2,0
Aage Nielsen-edwin,1,1,0,0,1,0
Aage Pedersen,2,2,0,0,1,1
Aage Poulsen,1,1,0,0,1,0
Aage Rubk-nielsen,2,2,0,0,2,0
Aage Steen,1,1,0,0,1,0
Aage Walther,1,1,0,0,0,1
Aagje Linden),5,5,0,1,2,2
Aagje Vanwalleghem,5,5,0,0,5,0
Aagot Hansen,1,1,0,0,1,0
Aagot Norman,1,1,0,0,1,0
Aale -haavio),1,1,0,1,0,0
Aaliyah Butler,2,2,0,1,1,0
Aaliyah Edwards,2,2,0,0,2,0
Aan Hussain,1,1,0,0,1,0
Aapeli Korhonen,1,1,0,0,1,0
Aapo Perko,1,1,0,0,1,0
Aarik Wilson,1,1,0,0,1,0
Aarn Padilla,2,2,0,0,2,0
Aarn Rubio,1,1,0,0,1,0
Aarne Castrn,1,1,0,0,1,0
Aarne Kainlauri,1,1,0,0,1,0
Aarne Kallberg,1,1,0,0,1,0
Aarne Lindroos,2,2,0,0,2,0
Aarne Pelkonen,1,1,0,0,0,1
Aarne Peussa,1,1,0,0,1,0
Aarne Pohjonen,1,1,1,0,0,0
Aarne Reini,2,2,0,0,1,1
Aarne Roine,9,9,0,0,9,0
Aarne Vehkonen,1,1,0,0,1,0
Aarno Almqvist,1,1,0,0,1,0
Aaro (dahlberg-),1,1,0,0,1,0
Aaron Armstrong,2,2,0,1,1,0
Aaron Brown,9,9,2,1,6,0
Aaron Chia,2,2,2,0,0,0
Aaron Cleare,1,1,0,0,1,0
Aaron Cook,2,2,0,0,2,0
Aaron Cummings,1,1,0,0,1,0
Aaron Dupnai,2,2,0,0,2,0
Aaron Egbele,1,1,1,0,0,0
Aaron Fara,2,2,0,0,2,0
Aaron Feltham,1,1,0,0,1,0
Aaron Fernandes,1,1,0,0,1,0
Aaron Flood,1,1,0,0,0,1
Aaron Gate,6,6,1,0,5,0
Aaron Geramipoor,1,1,0,0,1,0
Aaron Grandidier,1,1,0,1,0,0
Aaron Heading,1,1,0,0,1,0
Aaron Herman,1,1,0,0,1,0
Aaron Mcintosh,2,2,1,0,1,0
Aaron Mokoena,1,1,0,0,1,0
Aaron Myette,1,1,0,0,1,0
Aaron Nguimbat,1,1,0,1,0,0
Aaron Olson,1,1,0,0,1,0
Aaron Peirsol,7,7,0,5,0,2
Aaron Pollock,1,1,0,0,1,0
Aaron Popoola,1,1,0,0,1,0
Aaron Ramirez,1,1,0,0,1,0
Aaron Ramsey,1,1,0,0,1,0
Aaron Royle,3,3,0,0,3,0
Aaron Russell,2,2,2,0,0,0
Aaron Scott,1,1,0,0,1,0
Aaron Shackell,1,1,0,0,1,0
Aaron Small,2,2,0,0,2,0
Aaron Wolf,4,4,0,1,1,2
Aaron Younger,3,3,0,0,3,0
Aart Vierhouten,1,1,0,0,1,0
Aart Wilgenburg,1,1,0,0,1,0
Aartje (-dorresteijn),1,1,0,0,1,0
Aartje Lasterie,3,3,0,0,2,1
Aas Mmmdov,2,2,1,0,1,0
Aase -hoffman-madsen),2,2,0,0,2,0
Aastrand Jorgensen,5,5,3,0,2,0
Aatos Hirvisalo,1,1,0,0,1,0
Aatos Lehtonen,1,1,0,0,1,0
Aatto Nuora,1,1,0,0,1,0
Aauri Abia,2,2,0,0,2,0
Aavo Pikkuus,2,2,0,1,1,0
Ababel Birhane,1,1,0,0,1,0
Abadi Embaye,1,1,0,0,1,0
Abas Arslanagi,2,2,0,1,1,0
Abas Ismaili,1,1,0,0,1,0
Abba Girault,1,1,0,0,1,0
Abbas Ahmad,2,2,0,0,2,0
Abbas Al-aibi,1,1,0,0,1,0
Abbas Al-harbi,1,1,0,0,1,0
Abbas Al-qaisoum,1,1,0,0,1,0
Abbas Fallah,1,1,0,0,1,0
Abbas Hariri,1,1,0,0,1,0
Abbas Jadidi,2,2,0,0,1,1
Abbas Kenari,1,1,0,0,1,0
Abbas Khamis,2,2,0,0,2,0
Abbas Mohamed,1,1,0,0,1,0
Abbas Mohammed,2,2,0,0,2,0
Abbas Qali,2,2,0,0,2,0
Abbas Samimi,2,2,0,0,2,0
Abbas Souraki,1,1,0,0,1,0
Abbas Talebi,1,1,0,0,1,0
Abbas Tanha,1,1,0,0,1,0
Abbas Zandi,3,3,0,0,3,0
Abbas Zeghayer,1,1,0,0,1,0
Abbes Harchi,3,3,0,0,3,0
Abbes Mouhiidine,1,1,0,0,1,0
Abbey Caldwell,1,1,0,0,1,0
Abbey Harkin,1,1,0,0,1,0
Abbey Weitzeil,12,12,1,2,6,3
Abbie Brown,1,1,0,0,1,0
Abbie Wood,5,5,0,0,5,0
Abbo Bartolomeu,1,1,0,0,1,0
Abbondio Marcelli,1,1,0,0,1,0
Abbondio Smerghetto,1,1,0,0,1,0
Abbos Atayev,2,2,1,0,1,0
Abbos Rakhmonov,1,1,0,0,1,0
Abbosbek Fayzullaev,1,1,0,0,1,0
Abbubaker Mobara,1,1,0,0,1,0
Abby Andrews,2,2,0,0,1,1
Abby Bishop,1,1,1,0,0,0
Abby Dahlkemper,1,1,1,0,0,0
Abby Dent,1,1,0,0,0,1
Abby Erceg,4,4,0,0,4,0
Abby Gustaitis,1,1,0,0,1,0
Abclvio Rodrigues,2,2,0,0,2,0
Abdal Al-dabaji,1,1,0,0,1,0
Abdalelah Hassan,1,1,0,0,1,0
Abdalla Abdelaziz,1,1,0,0,1,0
Abdalla Ahmed,2,2,0,0,2,0
Abdalla Al-sebaei,1,1,0,0,1,0
Abdalla El-sheikh,1,1,0,0,1,0
Abdalla Mohamed,1,1,0,0,1,0
Abdalla Yousif,1,1,0,0,1,0
Abdallah Al-sidani,1,1,0,0,1,0
Abdallah Gazi,1,1,0,0,1,0
Abdallah Juma,1,1,0,0,1,0
Abdallah Kounta,2,2,0,0,2,0
Abdallah Lahoucine,2,2,0,0,2,0
Abdallah Zohdy,1,1,0,0,1,0
Abde Ezzalzouli,1,1,1,0,0,0
Abdel Abdallah,2,2,0,0,2,0
Abdel Abdelgawwad,1,1,0,0,1,0
Abdel Abou-shanab,2,2,0,0,2,0
Abdel Achik,1,1,1,0,0,0
Abdel Ahmed,1,1,0,0,1,0
Abdel Al-anjri,1,1,0,0,1,0
Abdel Al-dolmy,1,1,0,0,1,0
Abdel Al-kaaki,1,1,0,0,1,0
Abdel Allah,2,2,0,0,2,0
Abdel Bakir,1,1,0,0,1,0
Abdel Belghiti,1,1,0,0,1,0
Abdel Bergheul,1,1,0,0,1,0
Abdel Bouanani,1,1,0,0,1,0
Abdel Boulehia,1,1,0,0,1,0
Abdel Bounour,1,1,0,0,1,0
Abdel Bousarsar,1,1,0,0,1,0
Abdel Boutefnouchet,1,1,0,0,1,0
Abdel Chkhmani,1,1,0,0,1,0
