Model,Target,R2,RMSE,MAE
Random Forest,Total_Medal,0.6995272572955229,1.1689173078331037,0.478398182484872
Random Forest,Gold,0.5830089312749163,0.5851561199364643,0.2070349376729376
Gradient Boosting,Total_Medal,0.6963075863100039,1.175163300196566,0.4819911132017367
Gradient Boosting,Gold,0.5867105015254205,0.5825531568126212,0.2061591489193773
ElasticNet,Total_Medal,0.29485139095470836,1.7906948118017367,0.7269436533455523
ElasticNet,Gold,0.17433089038348537,0.8234010061501748,0.3000818913471093
XGBoost,Total_Medal,0.6839759945869446,1.1987849143535518,0.4796094298362732
XGBoost,Gold,0.5499275922775269,0.6079243976196437,0.20859785377979279
LightGBM,Total_Medal,0.665584126121412,1.233174939962995,0.48846678261849
LightGBM,Gold,0.5567581807842819,0.6032936293391409,0.20670697660139142
