Country,Year,Sport,Gold,Silver,Bronze,Total_medal,athlete_count,female_count,male_count,participated_team_events_count
AIN,2024,Canoe Sprint,0,0,0,0,6,2,4,1
AIN,2024,Cycling Road,0,0,0,0,7,5,2,0
AIN,2024,Rowing,0,1,0,1,2,1,1,0
AIN,2024,Shooting,0,0,0,0,2,2,0,0
AIN,2024,Swimming,0,0,0,0,7,4,3,0
AIN,2024,Taekwondo,0,0,0,0,1,0,1,0
AIN,2024,Tennis,0,1,0,1,14,8,6,3
AIN,2024,Trampoline Gymnastics,1,1,0,2,3,2,1,2
AIN,2024,Weightlifting,0,0,1,1,2,1,1,0
AIN,2024,Wrestling,0,0,0,0,2,0,2,0
Afghanistan,1936,Athletics,0,0,0,0,3,0,3,0
Afghanistan,1936,Hockey,0,0,0,0,13,0,13,1
Afghanistan,1948,Football,0,0,0,0,11,0,11,1
Afghanistan,1948,Hockey,0,0,0,0,14,0,14,1
Afghanistan,1956,Hockey,0,0,0,0,12,0,12,1
Afghanistan,1960,Athletics,0,0,0,0,9,0,9,1
Afghanistan,1960,Wrestling,0,0,0,0,7,0,7,0
Afghanistan,1964,Wrestling,0,0,0,0,8,0,8,0
Afghanistan,1968,Wrestling,0,0,0,0,5,0,5,0
Afghanistan,1972,Wrestling,0,0,0,0,8,0,8,0
Afghanistan,1980,Boxing,0,0,0,0,3,0,3,0
Afghanistan,1980,Wrestling,0,0,0,0,8,0,8,0
Afghanistan,1988,Wrestling,0,0,0,0,5,0,5,0
Afghanistan,1996,Athletics,0,0,0,0,2,0,2,0
Afghanistan,2004,Athletics,0,0,0,0,2,1,1,0
Afghanistan,2004,Boxing,0,0,0,0,1,0,1,0
Afghanistan,2004,Judo,0,0,0,0,1,1,0,0
Afghanistan,2004,Wrestling,0,0,0,0,1,0,1,0
Afghanistan,2008,Athletics,0,0,0,0,2,1,1,0
Afghanistan,2008,Taekwondo,0,0,1,1,2,0,2,0
Afghanistan,2012,Athletics,0,0,0,0,2,1,1,0
Afghanistan,2012,Boxing,0,0,0,0,1,0,1,0
Afghanistan,2012,Judo,0,0,0,0,1,0,1,0
Afghanistan,2012,Taekwondo,0,0,1,1,2,0,2,0
Afghanistan,2016,Athletics,0,0,0,0,2,1,1,0
Afghanistan,2016,Judo,0,0,0,0,1,0,1,0
Afghanistan,2020,Athletics,0,0,0,0,2,1,1,0
Afghanistan,2020,Shooting,0,0,0,0,1,0,1,0
Afghanistan,2020,Swimming,0,0,0,0,1,0,1,0
Afghanistan,2020,Taekwondo,0,0,0,0,1,0,1,0
Afghanistan,2024,Athletics,0,0,0,0,2,1,1,0
Afghanistan,2024,Cycling Road,0,0,0,0,3,3,0,0
Afghanistan,2024,Judo,0,0,0,0,1,0,1,0
Afghanistan,2024,Swimming,0,0,0,0,1,0,1,0
Albania,1972,Shooting,0,0,0,0,4,1,3,0
Albania,1972,Weightlifting,0,0,0,0,1,0,1,0
Albania,1992,Athletics,0,0,0,0,1,1,0,0
Albania,1992,Shooting,0,0,0,0,2,1,1,0
Albania,1992,Swimming,0,0,0,0,3,0,3,1
Albania,1992,Weightlifting,0,0,0,0,3,0,3,0
Albania,1996,Athletics,0,0,0,0,2,2,0,0
Albania,1996,Cycling,0,0,0,0,1,0,1,0
