,Year,RNOC,Participants,Rank,NOC,Gold,Silver,Bronze,Total,TSport,Tevent,man_sum,team_event_count,Aquatics,Archery,Athletics,Badminton,Baseball and Softball,Basketball,Basque Pelota,Boxing,Breaking,Canoeing,Cricket,Croquet,Cycling,Equestrian,Fencing,Field hockey,Football,Golf,Gymnastics,Handball,Jeu de Paume,Judo,Karate,Lacrosse,Modern Pentathlon,Polo,Rackets,Roque,Rowing,Rugby,Sailing,Shooting,Skateboarding,Sport Climbing,Surfing,Table Tennis,Taekwondo,Tennis,Triathlon,Tug of War,Volleyball,Water Motorsports,Weightlifting,Wrestling,menPropotion
0,1896,AUS,5,8,Australia,2,0,0,2,11,43,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.0
1,1896,GBR,25,5,Great Britain,2,3,2,7,11,43,25,1,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,2,1,1.0
2,1896,GRE,148,2,Greece,10,18,19,47,11,43,148,2,11,0,36,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,13,0,0,0,0,4,2,1.0
3,1900,AUS,6,9,Australia,2,0,3,5,20,97,6,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,1900,BEL,100,5,Belgium,6,7,4,17,20,97,100,6,12,8,0,0,0,0,0,0,0,0,0,0,1,15,6,0,9,0,2,0,0,0,0,0,0,0,0,0,11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5,1900,BOH,9,20,Bohemia,0,1,1,2,20,97,7,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.7777777777777778
6,1900,DEN,36,10,Denmark,1,3,2,6,20,97,36,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,1.0
7,1900,ESP,12,14,Spain,1,0,0,1,20,97,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,1900,FRA,1071,1,France,27,39,37,103,20,97,1055,23,108,18,29,0,0,0,0,0,0,0,3,19,71,47,253,0,13,7,108,0,0,0,0,0,0,8,0,0,59,15,227,62,0,0,0,0,0,19,0,5,0,0,0,0,0.9850606909430439
9,1900,GBR,146,3,Great Britain,15,7,9,31,20,97,144,13,21,0,19,0,0,0,0,0,0,0,21,0,2,1,3,0,12,5,4,0,0,0,0,0,0,6,0,0,1,15,19,1,0,0,0,0,0,16,0,0,0,0,0,0,0.9863013698630136
