Year,NOC,participants
1896,AUS,5
1896,AUT,8
1896,DEN,15
1896,FRA,26
1896,GBR,25
1896,GER,94
1896,GRE,148
1896,HUN,18
1896,ITA,1
1896,SUI,8
1896,SWE,5
1896,USA,27
1900,ARG,1
1900,AUS,6
1900,AUT,26
1900,BEL,100
1900,BRA,3
1900,CAN,7
1900,COL,1
1900,CUB,2
1900,CZE,9
1900,DEN,36
1900,ESP,12
1900,FRA,1071
1900,GBR,146
1900,GER,103
1900,GRE,4
1900,HAI,4
1900,HUN,34
1900,IND,5
1900,IRI,1
1900,ITA,36
1900,LUX,1
1900,MEX,3
1900,NED,73
1900,NOR,29
1900,NZL,1
1900,PER,2
1900,ROU,1
1900,RUS,5
1900,SUI,52
1900,SWE,27
1900,USA,135
1904,AUS,6
1904,AUT,7
1904,CAN,61
1904,CUB,6
1904,FRA,2
1904,GBR,6
1904,GER,55
1904,GRE,17
1904,HUN,9
1904,ITA,1
1904,NFL,1
1904,NOR,6
1904,RSA,8
1904,SUI,7
1904,USA,1109
1906,AUS,10
1906,AUT,100
1906,BEL,31
1906,CAN,4
1906,CRT,11
1906,CZE,29
1906,DEN,68
1906,EGY,5
1906,FIN,18
1906,FRA,174
1906,GBR,113
1906,GER,157
1906,GRE,484
1906,HUN,99
1906,ITA,103
1906,NED,49
1906,NOR,55
1906,SUI,45
1906,SWE,95
1906,TUR,2
1906,USA,81
1908,AUS,48
1908,AUT,13
1908,BEL,99
1908,CAN,148
1908,CZE,41
1908,DEN,107
1908,FIN,94
1908,FRA,319
1908,GBR,960
1908,GER,145
1908,GRE,49
1908,HUN,107
1908,ISL,1
1908,ITA,97
1908,NED,218
1908,NOR,103
1908,RSA,33
1908,RUS,5
1908,SUI,1
1908,SWE,272
1908,USA,218
1912,AUS,38
1912,AUT,132
1912,BEL,72
1912,CAN,60
1912,CHI,28
1912,CZE,74
1912,DEN,233
1912,FIN,233
1912,FRA,232
1912,GBR,461
1912,GER,312
1912,GRE,77
1912,HUN,207
1912,ISL,2
1912,ITA,96
1912,JPN,4
1912,LUX,44
1912,NED,45
1912,NOR,263
1912,POL,1
1912,POR,8
1912,RSA,56
1912,RUS,266
1912,SRB,2
1912,SUI,7
1912,SWE,714
1912,TUR,7
1912,UNK,2
1912,USA,364
1920,ARG,1
1920,AUS,29
1920,BEL,509
1920,BRA,38
1920,CAN,77
1920,CHI,2
1920,CZE,174
1920,DEN,246
1920,EGY,22
1920,ESP,111
1920,EST,20
1920,FIN,133
1920,FRA,443
1920,GBR,336
1920,GRE,98
1920,IND,7
1920,ITA,291
1920,JPN,26
1920,LUX,35
1920,MON,7
1920,NED,213
1920,NOR,261
1920,NZL,6
1920,POR,40
1920,RSA,97
1920,SRB,15
1920,SUI,117
1920,SWE,389
1920,USA,458
1924,ARG,109
1924,AUS,60
1924,AUT,56
1924,BEL,234
1924,BRA,18
1924,BUL,31
1924,CAN,83
1924,CHI,18
1924,CUB,13
1924,CZE,242
1924,DEN,158
1924,ECU,4
1924,EGY,30
1924,ESP,151
1924,EST,47
1924,FIN,253
1924,FRA,636
1924,GBR,428
1924,GRE,79
1924,HAI,16
1924,HUN,140
1924,IND,24
1924,IRL,60
1924,ITA,333
1924,JPN,37
1924,LAT,47
1924,LTU,13
1924,LUX,122
1924,MEX,28
1924,MON,9
1924,NED,246
1924,NOR,105
1924,NZL,6
1924,PHI,2
1924,POL,100
1924,POR,47
1924,ROU,45
1924,RSA,44
1924,RUS,3
1924,SRB,116
1924,SUI,262
1924,SWE,256
1924,TUR,23
1924,URU,40
1924,USA,459
1928,ARG,98
1928,AUS,29
1928,AUT,113
1928,BEL,260
1928,BUL,10
1928,CAN,113
1928,CHI,46
1928,CUB,1
1928,CZE,147
1928,DEN,122
1928,EGY,43
1928,ESP,106
1928,EST,23
1928,FIN,132
1928,FRA,422
1928,GBR,354
1928,GER,399
1928,GRE,47
1928,HAI,3
1928,HUN,219
1928,IND,24
1928,IRL,44
1928,ITA,273
1928,JPN,56
1928,LAT,24
1928,LTU,13
1928,LUX,107
1928,MEX,55
1928,MLT,9
1928,MON,12
1928,NED,384
1928,NOR,79
1928,NZL,13
1928,PAN,2
1928,PHI,6
1928,POL,146
1928,POR,39
1928,ROU,33
1928,RSA,40
1928,SRB,86
1928,SUI,236
1928,SWE,139
1928,TUR,40
1928,URU,17
1928,USA,426
1928,ZIM,2
1932,ARG,47
1932,AUS,20
1932,AUT,33
1932,BEL,69
1932,BRA,67
1932,BUL,2
1932,CAN,191
1932,CHN,2
1932,COL,2
1932,CUB,3
1932,CZE,44
1932,DEN,94
1932,ESA,4
1932,ESP,8
1932,EST,3
1932,FIN,66
1932,FRA,159
1932,GBR,170
1932,GER,202
1932,GRE,16
